Title,Body (HTML),Vendor,Tags,Variant SKU,Variant Price,Image Src
Динозавры. Полная энциклопедия,"
Сейчас наша Земля - это планета людей, по соседству с которыми живут еще сотни тысяч видов живых существ. А 200 миллионов лет назад на нашей планете безраздельно царствовали динозавры. Мы представляем их огромными и свирепыми хищниками, но, оказывается, многие из них были травоядными. Хотя, несмотря на это, могли постоять за себя в суровой схватке за жизнь. Над созданием этой энциклопедии трудились самые известные ученые-палеонтологи из Кембриджского университета, а лучшие художники затратили много времени и сил на создание впечатляющих, максимально достоверных изображений динозавров и мира, в котором они обитали. Каковы были их истинные размеры и умственные способности, чем они питались, как и на кого охотились и почему в конце концов вымерли, где находят их останки и каким образом ученые работают над их изучением - на эти и еще на тысячи вопросов ответит эта энциклопедия, прочитать которую будет интересно и детям, и взрослым.","Кондрашова Л., ред.","['Литература для детей', 'Детская научно-популярная литература', 'Естественные науки']",330761,1622,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330761.jpeg
Семь Зверей Райлега. Терн,"
Терн из народа дхуссов, воин, философ, маг - кто он и зачем появился в Мире Семи Зверей? Кто преследует его и почему он никогда не рассказывает о своем прошлом даже тем, с кем сражался плечом к плечу? Какова его миссия, и не связана ли она с наступлениемна земли людей, аэлвов, сидхов и прочих разумных обитателей Райлега, страшной беды - Гнили, с которой не могут справиться ни Мастера Смерти страшной и загадочной страны Некрополиса, ни волшебники Державы Навсинай? А может быть, Терну предстоит стать последим аргументом в их многовековом и кровавом противостоянии?","Перумов, Ник ","['Художественная литература', 'Фантастика, фэнтези, мистика', 'Отечественная', 'Фэнтези']",330770,816,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330770.jpeg
Хочу читать: для детей 5-6 лет,"
Цель данного пособия - научить ребенка читать по слогам, писать печатными буквами слова и предложения. При этом ребенок учится различать гласные и согласные звуки и буквы, твердые и мягкие, звонкие и глухие согласные; определять ударную гласную и количество слогов в слове. Задания носят разнообразный характер и способствуют развитию внимания, мышления, памяти. В пособии широко используются стихи, загадки, скороговорки, что обогащает словарный запас ребенка, развивает его речевые навыки.",Егупова Валентина Александровна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Обучение чтению']",330772,690,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330772.jpeg
Пятый элефант,"
Добро пожаловать в Убервальд! В страну, славную вековыми традициями, где до сих пор играют в такие замечательные игры, как ""попробуй убеги, чтобы тебя не сожрали"" и ""успей домой до захода солнца"". Здесь вас встретят ласково улыбающиеся вампиры, милые игривые вервольфы и радушные, отзывчивые гномы. А еще здесь лежит легендарный Пятый Слон, некогда упавший на Плоский мир и устроивший чудовищное дискотрясение. А еще здесь множество железа, золота и жировых месторождений - в общем, тех самых штук, которые до зарезу нужны такому цивилизованному городу, как Анк-Морпорк. Так что вперед, сэр Сэмюель Ваймс! Отныне вы - дипломат. Добудьте нам всего побольше и подешевле. Добро пожаловать в гостеприимный и смертоносный Убервальд! Ну что, Анк-Морпорк, побегаем?",Пратчетт Терри ,"['Художественная литература', 'Фантастика, фэнтези, мистика', 'Зарубежная', 'Фэнтези']",330775,711,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330775.jpeg
Сказки,"
Вашему вниманию предлагается сборник сказок Шарля Перро.",Перро Шарль ,"['Литература для детей', 'Художественная литература', 'Сказки']",330783,791,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330783.jpeg
Сказы (ил. М. Митрофанова),"
В настоящее издание включены наиболее популярные сказы. В них тесно переплетаются фантастические персонажи: Хозяйка Медной горы, Огневушка-Поскакушка, Великий Полоз, бабка Синюшка - и образы трудовых людей старого Урала: ""мастеров по каменному делу"", ""золотодобытчиков"".",Бажов Павел Петрович,"['Литература для детей', 'Художественная литература', 'Сказки']",330785,1041,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330785.jpeg
Узнаю звуки и буквы: для детей 4-5 лет,"
Основная задача данной книги - подготовить ребенка, незнакомого с буквами, к обучению чтению. Система разнообразных заданий направлена на развитие связной речи, мышления, внимания, памяти, творческого воображения. Регулярно занимаясь по пособию, малыш научится читать по слогам двух-трехсложные слова, определять звуки в словах, составлять рассказ по картинке, писать печатные буквы и несложные слова. Предназначено воспитателям дошкольных образовательных учреждений, гувернерам и родителям для занятий с детьми как в детском саду, так и в домашних условиях.",Пятак Светлана Викторовна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Обучение чтению']",330790,728,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330790.jpeg
Пишу буквы: для детей 5-6 лет,"
Вслед за книгой ""Рисую узоры"" данное пособие продолжает формировать графические навыки и обучать письму печатных букв. Письмо в среднем и старшем дошкольном возрасте подразумевает ""печатание"" букв, слогов и слов, что позволяет в дальнейшем легко распознавать буквы при чтении. Порядок изучения букв, предложенный в занятиях, большое количество разнообразных подготовительных, тренировочных и творческих заданий помогут ребенку быстро овладеть навыками чтения и письма. Пособие предназначено воспитателям дошкольных образовательных учреждений, гувернерам и родителям для домашних занятий с детьми по подготовке к школе.",Володина Наталья Владимировна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Обучение чтению']",330792,690,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330792.jpg
Пишу красиво. Для детей 6-7 лет.,"
Данная книга является заключительной частью курса по формированию графических навыков и обучению детей письму курсивных букв (первая часть — «Рисую узоры», вторая часть — «Пишу буквы»). Обучая письму, педагог обращает внимание, прежде всего, на развитие глазомера, отработку правильного способа держания ручки, формирование двигательных навыков руки и умения писать по строке. Решению этих задач способствуют графические упражнения, предлагаемые в данном пособии. Основное назначение пособия — научить ребенка писать, различать буквы и читать слова, написанные курсивным письмом. Пособие предназначено воспитателям дошкольных образовательных учреждений, гувернерам и родителям для занятий с детьми по подготовке к школе.",Володина Наталья Владимировна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Общие развивающие методики']",330791,690,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330791.jpeg
Начинаю считать. Для детей 4-5 лет,"
В предлагаемой книге ребенок знакомится с числами в пределах десяти, учится их сравнивать, знакомится с геометрическими фигурами, обучается порядковому счету, сравнивает числа, считает по порядку, а также учится решать примеры на сложение и вычитание в пределах десятка, прибавляя и вычитая 1. Юный читатель познакомится с понятиями «больше», «меньше», «столько же», «увеличить», «уменьшить». В пособие включены упражнения на развитие восприятия, памяти и мышления. Книга рекомендуется для работы с детьми младшего дошкольного возраста как на групповых занятиях в детском саду, так и в домашних условиях под руководством родителей.",Пьянкова Елена Анатольевна,"['Литература для детей', 'Дошкольное обучение, подготовка к школе', 'Обучение счету']",330793,690,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330793.jpeg
